reward: 0.3641, Epoch: 8, params: 2076571, epoch_time: 12.4605, genotype: [[2, [1, 0, 10, 8], [2, 3, 1, 8], [2, 1, 2, 2]], [[3, 1], [2, 4], [5, 5]]]
reward: 0.2627, Epoch: 9, params: 2198971, epoch_time: 13.0536, genotype: [[0, [1, 1, 2, 8], [4, 4, 8, 2], [7, 6, 6, 1]], [[2, 3], [1, 3], [5, 4]]]
reward: 0.4534, Epoch: 10, params: 2179675, epoch_time: 26.5805, genotype: [[0, [1, 0, 2, 10], [1, 0, 8, 2], [7, 1, 6, 6]], [[0, 2], [3, 1], [4, 3]]]
reward: 0.4532, Epoch: 11, params: 2289979, epoch_time: 24.3826, genotype: [[10, [0, 0, 6, 6], [3, 1, 0, 5], [0, 1, 3, 2]], [[2, 3], [0, 2], [3, 1]]]
reward: 0.4499, Epoch: 12, params: 2050075, epoch_time: 12.1942, genotype: [[1, [0, 0, 2, 7], [2, 2, 7, 9], [0, 7, 10, 0]], [[1, 2], [4, 4], [0, 1]]]
reward: 0.4929, Epoch: 13, params: 2210779, epoch_time: 41.2761, genotype: [[3, [0, 0, 5, 8], [0, 4, 3, 2], [5, 6, 2, 5]], [[3, 0], [0, 0], [2, 0]]]
reward: 0.3880, Epoch: 14, params: 2189467, epoch_time: 24.2120, genotype: [[7, [0, 0, 2, 6], [2, 4, 4, 7], [0, 5, 4, 5]], [[3, 2], [0, 1], [4, 2]]]
reward: 0.4464, Epoch: 15, params: 2147995, epoch_time: 24.3193, genotype: [[9, [1, 0, 5, 0], [2, 2, 9, 10], [6, 7, 5, 8]], [[1, 3], [1, 1], [0, 0]]]
reward: 0.4609, Epoch: 16, params: 1931995, epoch_time: 11.1954, genotype: [[7, [1, 0, 0, 9], [2, 4, 9, 9], [2, 6, 3, 2]], [[3, 2], [2, 0], [1, 1]]]
reward: 0.3264, Epoch: 17, params: 1948699, epoch_time: 20.5562, genotype: [[8, [0, 0, 0, 9], [4, 4, 10, 3], [7, 5, 4, 7]], [[3, 0], [2, 4], [4, 0]]]
reward: 0.3734, Epoch: 18, params: 1934299, epoch_time: 14.0793, genotype: [[9, [0, 0, 0, 9], [4, 3, 3, 3], [6, 7, 2, 9]], [[3, 0], [1, 0], [1, 5]]]
reward: 0.2747, Epoch: 19, params: 2071387, epoch_time: 16.0140, genotype: [[2, [1, 1, 4, 4], [1, 4, 10, 3], [3, 1, 5, 3]], [[3, 2], [2, 1], [4, 5]]]
reward: 0.4123, Epoch: 20, params: 1951291, epoch_time: 12.8628, genotype: [[3, [1, 0, 7, 2], [2, 2, 10, 10], [0, 0, 0, 8]], [[3, 1], [4, 3], [4, 0]]]
reward: 0.4913, Epoch: 21, params: 2177083, epoch_time: 25.0039, genotype: [[2, [0, 1, 0, 5], [0, 2, 5, 3], [4, 1, 0, 9]], [[0, 0], [1, 2], [5, 2]]]
reward: 0.4219, Epoch: 22, params: 2056699, epoch_time: 28.8889, genotype: [[5, [1, 0, 8, 9], [2, 0, 10, 0], [0, 4, 4, 8]], [[1, 0], [2, 0], [3, 5]]]
reward: 0.4487, Epoch: 23, params: 2275579, epoch_time: 32.1093, genotype: [[9, [1, 1, 6, 5], [1, 4, 2, 10], [4, 4, 1, 8]], [[1, 0], [0, 0], [1, 1]]]
reward: 0.3959, Epoch: 24, params: 2215387, epoch_time: 14.3687, genotype: [[2, [0, 0, 3, 8], [3, 4, 3, 5], [7, 5, 1, 8]], [[1, 2], [2, 2], [1, 1]]]
reward: 0.2885, Epoch: 25, params: 2287675, epoch_time: 42.6865, genotype: [[4, [1, 1, 5, 5], [2, 1, 8, 7], [0, 3, 9, 1]], [[0, 2], [0, 0], [4, 3]]]
