reward: 0.4374, Epoch: 0, params: 2076571, epoch_time: 15.5992, genotype: [[2, [1, 0, 10, 8], [2, 3, 1, 8], [2, 1, 2, 2]], [[3, 1], [2, 4], [5, 5]]]
reward: 0.4401, Epoch: 1, params: 2076283, epoch_time: 16.9914, genotype: [[7, [1, 1, 7, 8], [4, 4, 0, 6], [2, 7, 3, 10]], [[1, 3], [4, 1], [2, 4]]]
reward: 0.5181, Epoch: 2, params: 2069083, epoch_time: 18.2247, genotype: [[0, [1, 1, 9, 0], [3, 4, 1, 8], [4, 7, 7, 2]], [[3, 0], [2, 0], [5, 1]]]
reward: 0.4908, Epoch: 3, params: 2198683, epoch_time: 34.4635, genotype: [[6, [0, 0, 3, 4], [3, 1, 3, 2], [1, 1, 0, 6]], [[1, 0], [3, 3], [4, 2]]]
reward: 0.3660, Epoch: 4, params: 2277883, epoch_time: 35.9356, genotype: [[4, [1, 1, 0, 6], [3, 2, 1, 6], [5, 0, 10, 0]], [[1, 1], [1, 0], [0, 4]]]
reward: 0.4201, Epoch: 5, params: 2083483, epoch_time: 14.7539, genotype: [[1, [0, 0, 8, 2], [3, 1, 10, 8], [7, 7, 2, 3]], [[3, 3], [4, 1], [3, 1]]]
reward: 0.0000, Epoch: 6, params: 2176795, epoch_time: 3.4763, genotype: [[6, [1, 1, 10, 10], [2, 3, 8, 3], [6, 5, 8, 1]], [[2, 3], [1, 2], [2, 0]]]
reward: 0.4714, Epoch: 7, params: 2052379, epoch_time: 23.8487, genotype: [[1, [1, 0, 2, 9], [1, 0, 10, 2], [5, 2, 8, 4]], [[0, 1], [4, 0], [5, 2]]]
reward: 0.5269, Epoch: 8, params: 2314171, epoch_time: 25.8683, genotype: [[5, [0, 0, 5, 1], [4, 0, 8, 7], [6, 3, 3, 2]], [[1, 1], [3, 3], [2, 0]]]
reward: 0.4257, Epoch: 9, params: 2050075, epoch_time: 15.3060, genotype: [[7, [0, 1, 7, 7], [1, 3, 4, 9], [3, 4, 1, 9]], [[1, 3], [3, 1], [5, 3]]]
