reward: 0.5448, Epoch: 0, params: 2080035, epoch_time: 11.7433, genotype: [[2, [1, 0, 10, 8], [2, 3, 1, 8], [2, 1, 2, 2]], [[3, 1], [2, 4], [5, 5]]]
reward: 0.5698, Epoch: 1, params: 2291139, epoch_time: 31.2781, genotype: [[1, [1, 0, 3, 1], [3, 1, 5, 4], [3, 5, 2, 10]], [[0, 0], [1, 4], [4, 0]]]
reward: 0.5953, Epoch: 2, params: 2182851, epoch_time: 22.0940, genotype: [[4, [0, 0, 6, 8], [3, 4, 5, 0], [5, 1, 2, 9]], [[1, 2], [2, 0], [1, 2]]]
reward: 0.6709, Epoch: 3, params: 2175651, epoch_time: 19.8570, genotype: [[4, [0, 1, 5, 0], [4, 2, 7, 5], [7, 7, 0, 9]], [[3, 3], [0, 2], [1, 3]]]
reward: 0.3750, Epoch: 4, params: 2308131, epoch_time: 15.8672, genotype: [[2, [0, 0, 1, 1], [4, 3, 6, 7], [4, 1, 0, 8]], [[0, 2], [0, 0], [4, 0]]]
reward: 0.5971, Epoch: 5, params: 2509731, epoch_time: 21.7800, genotype: [[5, [1, 0, 6, 3], [2, 0, 10, 5], [6, 4, 5, 6]], [[1, 3], [2, 4], [4, 4]]]
reward: 0.6384, Epoch: 6, params: 2310723, epoch_time: 33.6637, genotype: [[6, [0, 0, 2, 3], [3, 4, 2, 1], [7, 5, 7, 5]], [[0, 1], [0, 1], [1, 4]]]
reward: 0.6416, Epoch: 7, params: 2168739, epoch_time: 16.4524, genotype: [[2, [0, 1, 9, 1], [3, 4, 6, 9], [6, 5, 3, 7]], [[2, 1], [4, 1], [0, 2]]]
reward: 0.6423, Epoch: 8, params: 2069667, epoch_time: 22.3335, genotype: [[10, [1, 0, 9, 8], [1, 3, 5, 3], [0, 0, 8, 4]], [[1, 0], [3, 2], [0, 3]]]
reward: 0.6235, Epoch: 9, params: 2307843, epoch_time: 15.6480, genotype: [[0, [0, 1, 1, 6], [1, 2, 4, 5], [7, 5, 8, 2]], [[1, 2], [2, 1], [2, 2]]]
reward: 0.6359, Epoch: 10, params: 2065059, epoch_time: 18.0746, genotype: [[5, [1, 1, 2, 4], [2, 0, 3, 9], [0, 0, 8, 9]], [[1, 1], [2, 3], [2, 0]]]
reward: 0.6728, Epoch: 11, params: 2075139, epoch_time: 24.5359, genotype: [[8, [1, 0, 6, 10], [0, 2, 7, 0], [1, 7, 7, 2]], [[2, 0], [4, 4], [4, 3]]]
reward: 0.6577, Epoch: 12, params: 2026755, epoch_time: 19.1943, genotype: [[8, [0, 1, 10, 2], [3, 2, 9, 5], [3, 4, 9, 10]], [[2, 0], [2, 2], [0, 4]]]
reward: 0.5911, Epoch: 13, params: 2408931, epoch_time: 19.3768, genotype: [[6, [1, 0, 6, 7], [1, 0, 0, 6], [4, 6, 6, 0]], [[2, 1], [1, 4], [1, 3]]]
reward: 0.6517, Epoch: 14, params: 2180547, epoch_time: 27.9697, genotype: [[9, [1, 1, 5, 0], [3, 4, 6, 3], [7, 2, 7, 4]], [[3, 3], [0, 1], [5, 1]]]
reward: 0.6515, Epoch: 15, params: 2069955, epoch_time: 19.4050, genotype: [[3, [1, 1, 9, 2], [1, 4, 3, 8], [3, 5, 10, 6]], [[3, 2], [2, 0], [3, 5]]]
reward: 0.6535, Epoch: 16, params: 2067651, epoch_time: 22.4515, genotype: [[10, [1, 1, 3, 8], [2, 0, 6, 7], [3, 4, 10, 7]], [[3, 0], [0, 2], [0, 3]]]
reward: 0.3606, Epoch: 17, params: 2187747, epoch_time: 10.8206, genotype: [[10, [1, 1, 6, 8], [3, 0, 0, 3], [4, 0, 5, 7]], [[3, 3], [4, 3], [4, 4]]]
reward: 0.6057, Epoch: 18, params: 2088963, epoch_time: 13.9185, genotype: [[5, [0, 0, 8, 3], [1, 0, 10, 3], [5, 2, 4, 8]], [[3, 3], [1, 3], [3, 5]]]
reward: 0.6250, Epoch: 19, params: 2067363, epoch_time: 12.7514, genotype: [[3, [0, 0, 0, 8], [3, 1, 6, 10], [3, 5, 10, 3]], [[1, 3], [2, 4], [4, 3]]]
reward: 0.6741, Epoch: 20, params: 2052963, epoch_time: 20.1408, genotype: [[0, [1, 0, 3, 0], [2, 4, 9, 0], [4, 6, 6, 10]], [[3, 0], [1, 2], [4, 4]]]
reward: 0.5980, Epoch: 21, params: 2070243, epoch_time: 11.5739, genotype: [[7, [0, 0, 7, 1], [1, 0, 0, 0], [0, 3, 9, 8]], [[1, 1], [1, 3], [4, 5]]]
reward: 0.5933, Epoch: 22, params: 2163555, epoch_time: 14.9093, genotype: [[5, [1, 0, 0, 9], [4, 1, 10, 4], [5, 0, 3, 1]], [[1, 3], [1, 2], [5, 5]]]
reward: 0.6775, Epoch: 23, params: 2194659, epoch_time: 32.2376, genotype: [[3, [0, 0, 6, 9], [4, 2, 4, 5], [7, 4, 8, 3]], [[0, 3], [3, 1], [0, 0]]]
reward: 0.6419, Epoch: 24, params: 2166147, epoch_time: 22.1351, genotype: [[8, [1, 0, 4, 7], [0, 2, 9, 6], [2, 3, 9, 5]], [[1, 3], [2, 4], [3, 0]]]
reward: 0.6922, Epoch: 25, params: 2187459, epoch_time: 19.6632, genotype: [[0, [1, 0, 0, 5], [3, 3, 3, 8], [2, 7, 9, 5]], [[1, 2], [0, 2], [3, 2]]]
reward: 0.5983, Epoch: 26, params: 2170755, epoch_time: 13.4030, genotype: [[3, [0, 0, 4, 9], [4, 2, 10, 1], [7, 5, 8, 1]], [[1, 2], [4, 1], [3, 1]]]
reward: 0.6473, Epoch: 27, params: 2416131, epoch_time: 28.5553, genotype: [[6, [0, 1, 5, 2], [4, 4, 4, 1], [3, 2, 5, 8]], [[2, 1], [4, 0], [2, 1]]]
reward: 0.5620, Epoch: 28, params: 2086947, epoch_time: 18.9702, genotype: [[4, [1, 0, 8, 7], [2, 4, 4, 5], [7, 0, 4, 2]], [[2, 1], [4, 1], [3, 1]]]
reward: 0.6629, Epoch: 29, params: 2175939, epoch_time: 29.1151, genotype: [[0, [1, 0, 2, 6], [0, 0, 10, 2], [0, 3, 6, 4]], [[2, 0], [2, 3], [0, 4]]]
reward: 0.6124, Epoch: 30, params: 2161539, epoch_time: 26.6885, genotype: [[9, [1, 1, 6, 6], [4, 3, 7, 2], [2, 5, 10, 4]], [[2, 0], [2, 2], [4, 1]]]
reward: 0.6164, Epoch: 31, params: 2274147, epoch_time: 13.1128, genotype: [[10, [0, 1, 4, 5], [1, 1, 1, 10], [0, 0, 5, 3]], [[3, 3], [4, 4], [1, 2]]]
reward: 0.6953, Epoch: 32, params: 2171043, epoch_time: 24.6858, genotype: [[3, [0, 0, 1, 5], [3, 4, 7, 2], [0, 6, 9, 9]], [[2, 0], [0, 0], [0, 2]]]
reward: 0.6186, Epoch: 33, params: 2067651, epoch_time: 13.9594, genotype: [[5, [0, 0, 4, 7], [3, 1, 9, 0], [3, 0, 4, 7]], [[1, 1], [3, 3], [2, 3]]]
reward: 0.5677, Epoch: 34, params: 1935459, epoch_time: 10.8806, genotype: [[8, [1, 0, 9, 10], [2, 3, 7, 7], [1, 1, 0, 10]], [[2, 1], [1, 2], [2, 2]]]
reward: 0.5154, Epoch: 35, params: 2281347, epoch_time: 17.5417, genotype: [[4, [0, 1, 6, 5], [2, 0, 4, 9], [3, 5, 6, 4]], [[3, 1], [3, 3], [3, 4]]]
reward: 0.6478, Epoch: 36, params: 2166147, epoch_time: 36.8912, genotype: [[5, [0, 0, 4, 7], [0, 1, 9, 5], [4, 7, 8, 10]], [[0, 0], [0, 2], [4, 2]]]
reward: 0.7137, Epoch: 37, params: 2317347, epoch_time: 22.4196, genotype: [[1, [0, 0, 6, 0], [0, 3, 8, 3], [3, 0, 6, 3]], [[1, 2], [2, 4], [0, 4]]]
reward: 0.6912, Epoch: 38, params: 2089251, epoch_time: 15.6381, genotype: [[3, [1, 0, 1, 7], [0, 0, 3, 3], [1, 1, 2, 10]], [[3, 0], [2, 1], [2, 0]]]
reward: 0.6048, Epoch: 39, params: 1980963, epoch_time: 13.8040, genotype: [[8, [0, 0, 2, 0], [1, 2, 0, 8], [7, 1, 4, 0]], [[0, 3], [3, 3], [2, 5]]]
reward: 0.6927, Epoch: 40, params: 2086947, epoch_time: 17.1615, genotype: [[0, [0, 0, 2, 3], [4, 1, 0, 6], [4, 1, 0, 2]], [[3, 3], [4, 0], [4, 1]]]
reward: 0.6640, Epoch: 41, params: 2166147, epoch_time: 29.2988, genotype: [[5, [0, 0, 6, 10], [1, 3, 0, 8], [4, 6, 7, 9]], [[0, 3], [2, 0], [3, 5]]]
reward: 0.6336, Epoch: 42, params: 2009763, epoch_time: 17.0798, genotype: [[3, [1, 1, 3, 8], [3, 1, 3, 8], [1, 5, 8, 7]], [[3, 2], [3, 0], [5, 3]]]
reward: 0.2795, Epoch: 43, params: 2420739, epoch_time: 11.4150, genotype: [[5, [1, 1, 6, 1], [3, 0, 8, 6], [6, 5, 8, 0]], [[3, 3], [4, 3], [3, 3]]]
reward: 0.6751, Epoch: 44, params: 2082051, epoch_time: 27.1373, genotype: [[7, [1, 0, 5, 9], [3, 2, 4, 8], [1, 6, 7, 3]], [[0, 1], [1, 2], [0, 0]]]
reward: 0.0602, Epoch: 45, params: 2045763, epoch_time: 2.5711, genotype: [[10, [1, 1, 3, 3], [2, 0, 0, 10], [4, 2, 9, 6]], [[3, 2], [4, 4], [2, 2]]]
reward: 0.6640, Epoch: 46, params: 2207331, epoch_time: 22.0501, genotype: [[2, [1, 1, 8, 7], [3, 2, 8, 1], [6, 2, 7, 5]], [[1, 0], [4, 3], [1, 3]]]
reward: 0.6894, Epoch: 47, params: 2173059, epoch_time: 18.9616, genotype: [[5, [1, 0, 6, 8], [1, 1, 9, 9], [3, 4, 4, 8]], [[2, 2], [3, 0], [3, 3]]]
reward: 0.6314, Epoch: 48, params: 2187747, epoch_time: 37.4529, genotype: [[5, [1, 0, 9, 8], [1, 0, 3, 2], [7, 7, 5, 0]], [[1, 0], [1, 0], [0, 5]]]
reward: 0.6470, Epoch: 49, params: 2170755, epoch_time: 24.3455, genotype: [[1, [1, 0, 10, 3], [4, 4, 0, 8], [3, 6, 5, 9]], [[1, 0], [0, 1], [1, 5]]]
reward: 0.5435, Epoch: 50, params: 2060451, epoch_time: 16.5160, genotype: [[4, [0, 1, 7, 3], [3, 2, 9, 6], [6, 2, 8, 9]], [[3, 1], [4, 2], [1, 5]]]
reward: 0.7020, Epoch: 51, params: 2298339, epoch_time: 24.5234, genotype: [[8, [0, 1, 5, 5], [2, 4, 9, 3], [7, 6, 5, 7]], [[3, 3], [2, 4], [0, 4]]]
reward: 0.6672, Epoch: 52, params: 2522115, epoch_time: 60.0065, genotype: [[6, [1, 0, 1, 7], [1, 3, 5, 7], [0, 7, 5, 6]], [[0, 0], [2, 0], [0, 4]]]
reward: 0.6490, Epoch: 53, params: 2310147, epoch_time: 25.6635, genotype: [[5, [1, 1, 8, 0], [4, 3, 4, 8], [1, 3, 5, 1]], [[3, 0], [1, 1], [5, 5]]]
reward: 0.6749, Epoch: 54, params: 2298339, epoch_time: 26.1770, genotype: [[2, [0, 1, 6, 3], [0, 0, 3, 6], [7, 2, 5, 10]], [[0, 1], [2, 1], [5, 2]]]
reward: 0.6813, Epoch: 55, params: 2082051, epoch_time: 33.3828, genotype: [[5, [1, 0, 8, 3], [2, 2, 4, 7], [2, 6, 7, 10]], [[0, 1], [2, 0], [0, 0]]]
reward: 0.6576, Epoch: 56, params: 2171043, epoch_time: 21.7299, genotype: [[10, [1, 0, 9, 8], [1, 2, 6, 7], [1, 6, 5, 7]], [[2, 1], [3, 0], [1, 3]]]
reward: 0.7108, Epoch: 57, params: 2401731, epoch_time: 24.8572, genotype: [[6, [0, 1, 2, 5], [0, 2, 5, 3], [6, 5, 1, 10]], [[1, 3], [0, 3], [3, 4]]]
reward: 0.5614, Epoch: 58, params: 2050659, epoch_time: 17.8068, genotype: [[3, [0, 1, 9, 9], [0, 4, 4, 0], [5, 7, 4, 1]], [[3, 3], [0, 1], [4, 5]]]
reward: 0.6681, Epoch: 59, params: 2276739, epoch_time: 42.6918, genotype: [[3, [1, 1, 2, 5], [2, 1, 6, 9], [4, 4, 6, 10]], [[0, 0], [2, 4], [0, 2]]]
reward: 0.6673, Epoch: 60, params: 2279043, epoch_time: 26.9446, genotype: [[9, [1, 0, 5, 5], [1, 2, 8, 6], [6, 7, 10, 7]], [[0, 2], [1, 3], [1, 1]]]
reward: 0.6807, Epoch: 61, params: 2092131, epoch_time: 22.2217, genotype: [[2, [1, 0, 6, 7], [1, 1, 0, 7], [6, 1, 8, 2]], [[1, 0], [2, 3], [2, 4]]]
reward: 0.7003, Epoch: 62, params: 2185443, epoch_time: 16.2098, genotype: [[1, [0, 1, 8, 2], [3, 1, 9, 7], [6, 1, 1, 0]], [[0, 2], [1, 1], [1, 0]]]
reward: 0.6406, Epoch: 63, params: 2411811, epoch_time: 36.2208, genotype: [[5, [1, 0, 6, 2], [0, 4, 1, 7], [7, 6, 1, 7]], [[0, 1], [4, 3], [5, 2]]]
reward: 0.6081, Epoch: 64, params: 2127555, epoch_time: 23.9127, genotype: [[6, [1, 1, 9, 9], [0, 1, 9, 9], [7, 2, 4, 6]], [[2, 1], [4, 1], [0, 3]]]
reward: 0.6850, Epoch: 65, params: 2166435, epoch_time: 27.6958, genotype: [[5, [0, 0, 10, 2], [3, 0, 5, 10], [1, 7, 2, 7]], [[0, 2], [0, 2], [2, 3]]]
reward: 0.6732, Epoch: 66, params: 2307843, epoch_time: 36.5314, genotype: [[4, [0, 0, 0, 6], [3, 2, 1, 3], [0, 7, 2, 6]], [[0, 2], [0, 3], [3, 0]]]
reward: 0.6811, Epoch: 67, params: 2180547, epoch_time: 26.3647, genotype: [[9, [1, 1, 2, 0], [3, 1, 3, 5], [0, 2, 0, 1]], [[1, 0], [4, 2], [4, 2]]]
reward: 0.5577, Epoch: 68, params: 2052963, epoch_time: 17.0780, genotype: [[9, [0, 1, 0, 5], [2, 3, 3, 4], [4, 0, 10, 4]], [[3, 2], [1, 2], [2, 4]]]
reward: 0.6843, Epoch: 69, params: 2072835, epoch_time: 15.2109, genotype: [[0, [1, 0, 2, 2], [2, 2, 10, 7], [3, 4, 1, 2]], [[0, 2], [2, 3], [3, 1]]]
reward: 0.6452, Epoch: 70, params: 2058147, epoch_time: 16.7826, genotype: [[7, [0, 0, 4, 3], [3, 0, 10, 2], [1, 6, 10, 5]], [[2, 2], [3, 1], [2, 5]]]
reward: 0.5942, Epoch: 71, params: 2187747, epoch_time: 18.0251, genotype: [[7, [1, 0, 8, 9], [3, 2, 5, 3], [2, 6, 5, 0]], [[2, 1], [2, 1], [4, 4]]]
reward: 0.6876, Epoch: 72, params: 2151747, epoch_time: 27.7143, genotype: [[9, [1, 0, 3, 2], [0, 1, 1, 9], [0, 6, 5, 9]], [[3, 0], [4, 2], [4, 0]]]
reward: 0.0602, Epoch: 73, params: 2286243, epoch_time: 16.0645, genotype: [[10, [1, 1, 4, 5], [3, 2, 6, 2], [6, 5, 5, 0]], [[3, 0], [3, 2], [0, 3]]]
reward: 0.5966, Epoch: 74, params: 2308131, epoch_time: 19.6820, genotype: [[7, [1, 1, 0, 6], [1, 3, 6, 8], [3, 4, 5, 2]], [[3, 1], [4, 2], [3, 4]]]
reward: 0.6186, Epoch: 75, params: 2190051, epoch_time: 15.2199, genotype: [[1, [0, 0, 1, 0], [3, 1, 3, 8], [1, 6, 7, 9]], [[2, 1], [1, 3], [3, 2]]]
reward: 0.6365, Epoch: 76, params: 2091843, epoch_time: 19.6327, genotype: [[4, [0, 0, 2, 7], [1, 1, 1, 8], [0, 5, 8, 4]], [[3, 1], [1, 4], [5, 0]]]
reward: 0.6681, Epoch: 77, params: 2164131, epoch_time: 32.3910, genotype: [[9, [0, 0, 2, 9], [0, 0, 2, 7], [5, 1, 6, 5]], [[2, 0], [3, 2], [4, 4]]]
reward: 0.5803, Epoch: 78, params: 2182851, epoch_time: 17.4178, genotype: [[4, [0, 1, 7, 3], [4, 3, 9, 1], [4, 0, 5, 4]], [[1, 2], [1, 2], [3, 3]]]
reward: 0.5454, Epoch: 79, params: 1964547, epoch_time: 15.8220, genotype: [[2, [0, 1, 2, 2], [0, 4, 10, 4], [0, 0, 8, 4]], [[1, 3], [2, 3], [5, 2]]]
reward: 0.6167, Epoch: 80, params: 2192355, epoch_time: 20.0552, genotype: [[1, [1, 0, 8, 3], [4, 2, 6, 3], [4, 5, 10, 4]], [[2, 0], [2, 2], [5, 3]]]
reward: 0.4968, Epoch: 81, params: 2108547, epoch_time: 14.3516, genotype: [[2, [1, 0, 3, 8], [0, 0, 2, 3], [4, 5, 3, 1]], [[1, 2], [4, 1], [4, 4]]]
reward: 0.6508, Epoch: 82, params: 2401731, epoch_time: 48.8508, genotype: [[3, [1, 0, 5, 6], [4, 2, 6, 2], [0, 6, 10, 6]], [[1, 0], [0, 2], [2, 5]]]
