reward: 0.0000, Epoch: 138, params: 2016385, epoch_time: 15.4005, genotype: [[10, [1, 0, 9, 10], [4, 4, 2, 6], [0, 6, 0, 9]], [[0, 1], [4, 3], [3, 5]]]
reward: 0.6832, Epoch: 139, params: 2057569, epoch_time: 19.1362, genotype: [[10, [0, 1, 2, 10], [2, 4, 5, 2], [2, 0, 8, 2]], [[3, 2], [3, 4], [5, 1]]]
reward: 0.0000, Epoch: 140, params: 2169889, epoch_time: 12.2975, genotype: [[0, [0, 0, 6, 8], [2, 4, 10, 9], [2, 3, 3, 6]], [[1, 2], [3, 4], [2, 1]]]
reward: 0.6624, Epoch: 141, params: 2304961, epoch_time: 22.7835, genotype: [[6, [1, 1, 5, 2], [4, 0, 5, 0], [0, 1, 2, 7]], [[2, 2], [3, 3], [1, 2]]]
reward: 0.0566, Epoch: 142, params: 2275873, epoch_time: 3.3682, genotype: [[10, [1, 1, 5, 8], [1, 1, 5, 5], [4, 2, 9, 2]], [[2, 1], [2, 0], [4, 0]]]
reward: 0.5421, Epoch: 143, params: 2155489, epoch_time: 18.2695, genotype: [[3, [0, 1, 5, 5], [3, 1, 10, 9], [7, 5, 10, 8]], [[3, 3], [2, 2], [2, 5]]]
reward: 0.6829, Epoch: 144, params: 2054689, epoch_time: 12.9828, genotype: [[9, [0, 1, 2, 9], [0, 0, 8, 0], [2, 2, 1, 4]], [[3, 3], [3, 4], [0, 0]]]
reward: 0.0056, Epoch: 145, params: 2102785, epoch_time: 2.6236, genotype: [[2, [1, 0, 1, 4], [4, 3, 2, 3], [1, 2, 3, 3]], [[3, 2], [3, 0], [2, 0]]]
reward: 0.4993, Epoch: 146, params: 2201281, epoch_time: 19.2926, genotype: [[3, [1, 1, 6, 0], [4, 1, 1, 7], [4, 3, 8, 4]], [[3, 2], [3, 4], [3, 2]]]
reward: 0.0000, Epoch: 147, params: 2179681, epoch_time: 15.1778, genotype: [[3, [0, 1, 5, 6], [1, 2, 0, 7], [7, 5, 9, 0]], [[3, 0], [2, 2], [1, 5]]]
reward: 0.0040, Epoch: 148, params: 2297473, epoch_time: 3.3521, genotype: [[2, [1, 0, 9, 3], [1, 2, 6, 6], [2, 3, 8, 6]], [[0, 2], [1, 1], [4, 2]]]
reward: 0.0065, Epoch: 149, params: 2290273, epoch_time: 3.2405, genotype: [[9, [1, 1, 2, 3], [2, 2, 6, 4], [5, 2, 1, 5]], [[2, 0], [0, 2], [3, 5]]]
reward: 0.1455, Epoch: 150, params: 2186881, epoch_time: 6.8284, genotype: [[4, [1, 1, 6, 9], [1, 1, 8, 7], [7, 1, 6, 8]], [[1, 2], [2, 3], [2, 4]]]
reward: 0.0019, Epoch: 151, params: 2311873, epoch_time: 3.0982, genotype: [[6, [0, 1, 2, 3], [4, 1, 3, 0], [5, 2, 6, 1]], [[1, 3], [2, 0], [3, 5]]]
reward: 0.0014, Epoch: 152, params: 2275873, epoch_time: 3.7049, genotype: [[3, [0, 1, 7, 9], [1, 2, 5, 5], [1, 6, 6, 10]], [[0, 2], [0, 2], [1, 4]]]
reward: 0.0563, Epoch: 153, params: 2294881, epoch_time: 4.3189, genotype: [[4, [0, 0, 4, 6], [4, 4, 0, 5], [7, 7, 0, 6]], [[0, 0], [4, 3], [1, 0]]]
reward: 0.7414, Epoch: 154, params: 2086081, epoch_time: 15.8506, genotype: [[0, [0, 0, 7, 2], [1, 2, 8, 4], [2, 2, 0, 5]], [[0, 3], [2, 2], [1, 5]]]
reward: 0.0000, Epoch: 155, params: 2203873, epoch_time: 15.9387, genotype: [[8, [1, 1, 6, 7], [2, 4, 0, 3], [6, 6, 6, 2]], [[2, 3], [1, 2], [5, 0]]]
reward: 0.6437, Epoch: 156, params: 2290561, epoch_time: 21.9758, genotype: [[6, [1, 1, 7, 1], [2, 4, 8, 7], [1, 7, 10, 5]], [[1, 3], [2, 0], [4, 5]]]
reward: 0.6748, Epoch: 157, params: 2278177, epoch_time: 21.1412, genotype: [[7, [0, 0, 10, 6], [2, 4, 1, 8], [3, 3, 9, 6]], [[1, 1], [2, 2], [3, 3]]]
reward: 0.0007, Epoch: 158, params: 2184289, epoch_time: 3.3798, genotype: [[3, [0, 0, 6, 6], [3, 2, 3, 0], [0, 0, 9, 4]], [[0, 0], [0, 4], [0, 1]]]
reward: 0.0019, Epoch: 159, params: 2105089, epoch_time: 2.9334, genotype: [[2, [1, 0, 3, 4], [3, 2, 6, 3], [7, 6, 8, 3]], [[0, 1], [3, 1], [4, 1]]]
reward: 0.0000, Epoch: 160, params: 2081185, epoch_time: 13.3700, genotype: [[3, [1, 0, 2, 8], [3, 1, 2, 10], [0, 2, 0, 5]], [[1, 3], [3, 2], [2, 0]]]
reward: 0.7070, Epoch: 161, params: 2196673, epoch_time: 16.7705, genotype: [[8, [0, 0, 2, 1], [3, 0, 7, 4], [2, 4, 4, 5]], [[3, 3], [3, 0], [4, 1]]]
reward: 0.0665, Epoch: 162, params: 2067073, epoch_time: 2.8517, genotype: [[6, [1, 1, 7, 0], [1, 1, 2, 4], [0, 7, 10, 7]], [[2, 0], [4, 3], [4, 2]]]
reward: 0.6519, Epoch: 163, params: 2040289, epoch_time: 23.0303, genotype: [[4, [0, 1, 9, 10], [2, 0, 6, 7], [4, 6, 3, 9]], [[1, 2], [4, 2], [3, 1]]]
reward: 0.0335, Epoch: 164, params: 2177665, epoch_time: 3.2292, genotype: [[9, [1, 0, 5, 7], [3, 1, 2, 0], [1, 7, 7, 6]], [[1, 0], [0, 2], [3, 4]]]
reward: 0.0019, Epoch: 165, params: 2201281, epoch_time: 3.1236, genotype: [[7, [0, 0, 8, 4], [2, 3, 3, 1], [1, 0, 5, 4]], [[0, 0], [3, 4], [0, 4]]]
reward: 0.0000, Epoch: 166, params: 2263777, epoch_time: 3.8672, genotype: [[10, [0, 1, 6, 5], [0, 0, 4, 0], [4, 2, 9, 6]], [[0, 3], [0, 0], [4, 5]]]
reward: 0.4849, Epoch: 167, params: 2170177, epoch_time: 19.0512, genotype: [[9, [0, 0, 9, 6], [3, 1, 8, 3], [7, 5, 2, 6]], [[2, 2], [2, 2], [5, 4]]]
reward: 0.0023, Epoch: 168, params: 2429377, epoch_time: 3.2971, genotype: [[6, [0, 1, 8, 5], [0, 3, 3, 8], [7, 2, 6, 6]], [[3, 1], [0, 1], [2, 1]]]
reward: 0.0000, Epoch: 169, params: 2096161, epoch_time: 10.2031, genotype: [[7, [0, 1, 3, 2], [3, 2, 1, 3], [7, 3, 7, 7]], [[1, 3], [4, 1], [5, 3]]]
reward: 0.0000, Epoch: 170, params: 2290273, epoch_time: 0.8077, genotype: [[5, [0, 1, 5, 7], [0, 0, 8, 4], [0, 3, 6, 10]], [[2, 1], [4, 3], [3, 4]]]
reward: 0.0000, Epoch: 171, params: 2162689, epoch_time: 0.7668, genotype: [[0, [0, 0, 6, 9], [3, 3, 3, 6], [6, 4, 0, 9]], [[0, 1], [2, 2], [3, 5]]]
reward: 0.0000, Epoch: 172, params: 2071393, epoch_time: 0.7900, genotype: [[4, [0, 0, 10, 7], [1, 3, 3, 0], [0, 6, 6, 0]], [[2, 0], [0, 3], [2, 2]]]
reward: 0.0000, Epoch: 173, params: 2170177, epoch_time: 0.8091, genotype: [[4, [1, 0, 9, 0], [4, 0, 1, 1], [0, 5, 2, 4]], [[2, 1], [4, 3], [5, 0]]]
reward: 0.0000, Epoch: 174, params: 2071681, epoch_time: 0.8695, genotype: [[3, [1, 1, 10, 4], [4, 0, 0, 6], [0, 2, 7, 2]], [[1, 1], [2, 3], [2, 4]]]
reward: 0.0000, Epoch: 175, params: 2076577, epoch_time: 0.8390, genotype: [[9, [0, 0, 8, 4], [2, 0, 2, 5], [1, 7, 3, 7]], [[1, 2], [4, 1], [1, 5]]]
reward: 0.5011, Epoch: 176, params: 2321377, epoch_time: 19.8615, genotype: [[5, [1, 1, 6, 8], [0, 4, 8, 2], [4, 6, 1, 8]], [[2, 3], [2, 2], [2, 2]]]
reward: 0.0023, Epoch: 177, params: 2210785, epoch_time: 3.0982, genotype: [[8, [1, 1, 8, 0], [4, 0, 6, 3], [0, 4, 2, 5]], [[2, 2], [2, 0], [3, 0]]]
reward: 0.0000, Epoch: 178, params: 2295169, epoch_time: 3.1245, genotype: [[9, [1, 1, 3, 2], [2, 0, 1, 6], [7, 2, 6, 7]], [[2, 0], [2, 3], [0, 0]]]
reward: 0.6720, Epoch: 179, params: 2307265, epoch_time: 31.9939, genotype: [[5, [0, 0, 2, 7], [3, 4, 6, 4], [0, 4, 6, 3]], [[3, 1], [1, 4], [3, 1]]]
reward: 0.7335, Epoch: 180, params: 2302657, epoch_time: 18.4027, genotype: [[5, [1, 0, 6, 6], [1, 2, 2, 7], [5, 2, 0, 2]], [[2, 2], [0, 2], [3, 4]]]
reward: 0.0000, Epoch: 181, params: 2304961, epoch_time: 14.0879, genotype: [[4, [0, 0, 6, 2], [2, 1, 3, 5], [3, 7, 1, 7]], [[2, 1], [4, 2], [2, 5]]]
reward: 0.6039, Epoch: 182, params: 2422465, epoch_time: 26.2798, genotype: [[6, [1, 1, 5, 1], [2, 2, 3, 5], [4, 7, 7, 3]], [[3, 1], [2, 2], [3, 4]]]
reward: 0.0000, Epoch: 183, params: 2023297, epoch_time: 14.7628, genotype: [[10, [1, 0, 9, 0], [4, 1, 3, 5], [4, 1, 10, 10]], [[0, 3], [3, 3], [0, 4]]]
reward: 0.6647, Epoch: 184, params: 2179969, epoch_time: 25.5227, genotype: [[5, [0, 1, 0, 6], [0, 1, 8, 10], [2, 4, 2, 7]], [[1, 3], [3, 4], [5, 5]]]
reward: 0.7564, Epoch: 185, params: 2181985, epoch_time: 13.8364, genotype: [[3, [1, 1, 5, 0], [0, 4, 1, 9], [4, 3, 2, 0]], [[3, 3], [2, 1], [2, 0]]]
reward: 0.7340, Epoch: 186, params: 2165281, epoch_time: 29.5302, genotype: [[8, [0, 1, 1, 5], [3, 1, 4, 9], [2, 0, 9, 2]], [[1, 1], [3, 3], [0, 4]]]
reward: 0.0000, Epoch: 187, params: 2309857, epoch_time: 16.8857, genotype: [[5, [0, 0, 7, 3], [2, 4, 6, 7], [6, 6, 7, 1]], [[2, 3], [4, 2], [0, 0]]]
reward: 0.7007, Epoch: 188, params: 2295169, epoch_time: 21.0871, genotype: [[7, [1, 1, 6, 1], [0, 2, 2, 10], [1, 7, 5, 8]], [[2, 3], [3, 3], [3, 1]]]
reward: 0.6336, Epoch: 189, params: 2167585, epoch_time: 22.8183, genotype: [[6, [1, 1, 3, 4], [3, 1, 9, 9], [7, 5, 7, 5]], [[3, 3], [1, 1], [2, 2]]]
reward: 0.0011, Epoch: 190, params: 2206177, epoch_time: 3.4425, genotype: [[8, [0, 1, 8, 7], [2, 2, 5, 3], [0, 7, 5, 4]], [[0, 2], [0, 4], [3, 5]]]
reward: 0.0000, Epoch: 191, params: 2273569, epoch_time: 23.5471, genotype: [[9, [1, 0, 5, 7], [0, 3, 5, 6], [4, 7, 7, 9]], [[3, 0], [1, 2], [2, 0]]]
reward: 0.7229, Epoch: 192, params: 2187169, epoch_time: 16.4441, genotype: [[3, [1, 1, 2, 1], [3, 0, 3, 2], [4, 1, 5, 9]], [[3, 1], [1, 4], [5, 0]]]
